cluster	am	ar	br	ca	cp	da	hl	ho	mo	lo	ne	oy	pb	sa	sh	sm	ur	example
sgene98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
